Artist,Title,Mix,BPM,Label,Year
"Faith Evans ft. The Notorious B.I.G. & Jadakiss","NYC",Quick Edit,85,Rhino/BMG/WMG,2017
"Faith Evans ft. The Notorious B.I.G. & Snoop Dogg","When We Party",Clean,104,Rhino/BMG/WMG,2017
"Faith Evans ft. The Notorious B.I.G. & Snoop Dogg","When We Party",Quick Edit,104,Rhino/BMG/WMG,2017
"Fantasia","Enough",,55,,2019
"Empire Cast ft. Jussie Smollett & Pitbull","No Doubt About It",Explicit,124,Columbia,2015
"Empire Cast ft. Serayah","Look But Don't Touch",Explicit,104,Columbia,2016
"Eric Bellinger ft. 2 Chainz","Focused On You", Quick Edit,95,YFS/300,2015
"Eric Bellinger ft. Chris Brown & OG Parker","Type A Way",Clean Edit,75,Clean Edit,2019
"Eric Bellinger ft. Fetty Wap & 2 Chainz","Valet",Explicit,94,300,2016
"Eric Bellinger ft. Wale","G.O.A.T. 2.0",PO Clean Edit,135,PO Clean Edit,2018
"Faith Evans ft. The Notorious B.I.G. & Jadakiss","NYC",Instrumental,85,Rhino/BMG/WMG,2017
"Faith Evans ft. The Notorious B.I.G. & Jadakiss","NYC",Clean,85,Rhino/BMG/WMG,2017
"Faith Evans ft. The Notorious B.I.G. & Jadakiss","NYC",Intro Edit,85,Rhino/BMG/WMG,2017
"Faith Evans ft. The Notorious B.I.G. & Snoop Dogg","When We Party",Intro Edit,104,Rhino/BMG/WMG,2017
"Fantasia","Ain't All Bad",,140,RCA,2013
"Fantasia","Truth Is",,146,,
"Flo Rida, David Guetta","Club Can't Handle Me",Radio,128,,2010
"French Montana ft. Jeremih","Bad Bitch",Explicit,100,Bad Boy/Interscope,2015
"Future ft. Rihanna","Selfish",Quick Edit,96,A1/Freebandz/Epic,2017
"Future ft. Rihanna","Selfish",,96,A1/Freebandz/Epic,2017
"Gallant ft. A$AP Ferg","Doesn't Matter",Explicit - Remix,131,Explicit - Remix,2018
"G-Eazy ft. Marc E. Bassy","Some Kind Of Drug",Intro Edit,66,RCA,2016
"G-Eazy ft. Marc E. Bassy","Some Kind Of Drug",Quick Edit,66,RCA,2016
"George McCrae","Rock Your Baby",,104,,
"Gesaffelstein & The Weeknd","Lost In The Fire",Clean Edit,102,Clean Edit,2019
"Goapele","Hey Boy",,114,Jordan House/Primary Wave,2014
"Gyptian","Turn Me On", Clean Edit,100,VP,2014
"H.E.R.","As I Am",,88,,2019
"Immature","Let Me Find Out",Clean,82,Goodlife/SP Entertainment,2014
"Frank Ocean","Thinking About You",,65,Def Jam/Island Def Jam,2012
"Future ft. Rihanna","Selfish",Intro Edit,96,A1/Freebandz/Epic,2017
"Future ft. Rihanna","Selfish",Explicit,96,A1/Freebandz/Epic,2017
"Gallant","Doesn't Matter",,65,,2018
"G-Eazy ft. Marc E. Bassy","Some Kind Of Drug",Clean,66,RCA,2017
"George Benson","Breezin'",,81,,
"Gesaffelstein & The Weeknd","Lost In The Fire",Instrumental,102,Instrumental,2019
"Gesaffelstein & The Weeknd","Lost In The Fire",Explicit,102,Explicit,2019
"Gyptian","Turn Me On",,100,VP,2014
"Heavy D & The Boyz Ft Tammy Lucas","Is It Good To You",Untouchable Westside Remix,108,Mca,1991
"H.E.R. ft. Bryson Tiller","Could've Been",Clean,52,Clean,2018
"India.Arie","Steady Love",,77,,2019
"Iron Mike Norton","Get Close",,84,GFO Records,2013
"iyla","Shampoo",PO Quick Edit,96,PO Quick Edit,2019
"iyla","Shampoo",Clean,96,Clean,2019
"Jacob Latimore ft. Issa","Like Em All",,102,RCA,2012
"Jacquees","You",Clean Edit,57,Clean Edit,2018
"Jacquees & Dej Loaf","At The Club",Quick Edit,93,Cash Money,2017
"Jacquees & Dej Loaf","At The Club",Intro Edit,93,Cash Money,2017
"Jagged Edge","Hope",,64,So So Def/Hard Case,2014
"Jagged Edge","Walked Outta Heaven",Original,60,,2003
"Jaheim Feat Jadakiss","Everytime I Think About Her",,86,,
"JAMESDAVIS","Something To Talk About",Clean,80,Clean,2019
"Jamie Foxx ft. 2 Chainz","Party Ain't A Party",,99,RCA,2014
"Jamie Foxx ft. 2 Chainz","Party Ain't A Party",Explicit,99,RCA,2014
"iSHi ft. Shenie Fogo","There For Me",,119,ICONS/PRMD,2016
"iyla","Shampoo",PO Intro Edit,96,PO Intro Edit,2019
"iyla","Shampoo",Clean Edit,96,Clean Edit,2019
"Jacquees","Good Feeling",,72,Cash Money/Republic,2016
"Jacquees & Dej Loaf","At The Club",,93,Cash Money,2017
"Jagged Edge","Ass Hypnotic",,87,,2006
"Jagged Edge","Love Come Down",,77,So So Def/Hard Case/Primary Wave/BMG,2015
"Jaheim","Backtight",Original,77,,2003
"James Brown","Get Up (feel Like ..)",,110,,
"James &quot;Trakz&quot; Wade","You Are The One",,104,Song Source Music Group,2016
"Jamie Foxx ft. 2 Chainz","Party Ain't A Party", Quick Edit,99,RCA,2014
"Jamie Foxx ft. 2 Chainz","Party Ain't A Party", Clean Edit,99,RCA,2014
"Jamie Foxx ft. Chris Brown","You Changed Me",Intro - Explicit,69,RCA,2015
"Jamie Foxx ft. Chris Brown","You Changed Me",Clean,69,RCA,2015
"Jamie Foxx ft. Chris Brown","You Changed Me", Quick Edit,69,RCA,2015
"Janelle Monae","I Like That",PO Clean Edit,135,PO Clean Edit,2018
"Janelle Monae","I Like That",PO Intro Edit,135,PO Intro Edit,2018
"Janelle Monae","I Like That",PO Quick Edit,135,PO Quick Edit,2018
"Janelle Monae","Make Me Feel",English Remix,115,English Remix,2018
"Janelle Monae","Make Me Feel",Clean Radio Edit,115,Clean Radio Edit,2018
"Janelle Monae & Jidenna","Yoga", Quick Edit,65,Wondaland/Epic,2015
"Janet Jackson","Dammn Baby",Instrumental,103,Rhythm Nation/BMG,2016
"Janet Jackson","Feedback Feat. Ciara",Remix,115,,2008
"Janet Jackson","No Sleeep", Quick Edit,88,Rhythm Nation/BMG,2015
"Janet Jackson ft. J. Cole","No Sleeep", Quick Edit - Remix,88,Rhythm Nation/BMG,2015
"Jamie Foxx ft. Chris Brown","You Changed Me",Instrumental,69,RCA,2015
"Jamie Foxx ft. Chris Brown","You Changed Me",,69,RCA,2015
"Jam & Lewis x Sounds Of Blackness x Ann Nesby x Big Jim Wright x Lauren Evans","Til I Found You",,97,,2019
"Janelle Monae","I Like That",Explicit,68,Explicit,2018
"Janelle Monae","Make Me Feel",Explicit,57,Explicit,2018
"Janelle Monae","Make Me Feel",PopRoXxX Quick Edit,115,PopRoXxX Quick Edit,2018
"Janelle Monae & Jidenna","Yoga",,65,Wondaland/Epic,2015
"Janet Jackson","Dammn Baby", Quick Edit,103,Rhythm Nation/BMG,2016
"Janet Jackson","Dammn Baby",DJ Mike D Mix,102,Rhythm Nation/BMG,2016
"Janet Jackson","No Sleeep",Instrumental,88,Rhythm Nation/BMG,2015
"Janet Jackson ft. Daddy Yankee","Made For Now",djleony Quick Edit,116,djleony Quick Edit,2018
"Janet Jackson ft. J. Cole","No Sleeep", Clean Edit - Remix,88,Rhythm Nation/BMG,2015
"Janet Jackson ft. J. Cole","No Sleeep", - Remix,88,Rhythm Nation/BMG,2015
"Janet Jackson ft. J. Cole","No Sleeep",Remix - Explicit,88,Rhythm Nation/BMG,2015
"Jason Derulo","Get Ugly",,111,Beluga Heights/Warner Bros,2016
"Javier","Beautiful Ur",,92,Capitol Records,2003
"J. Cole","Apparently",Instrumental,67,Roc Nation/Columbia,2015
"J. Cole","Apparently",Explicit,67,Roc Nation/Columbia,2015
"Jennifer Hudson ft. T.I.","I Can't Describe (The Way I Feel)",,117,RCA,2014
"Jennifer Hudson ft. Timbaland","Walk It Out", Quick Edit,70,RCA,2014
"Jeremih","Down On Me",Remix Featuring 50 Cent,160,,
"Jeremih","Oui", Clean Edit,60,Def Jam,2015
"Jeremih","Oui", Quick Edit,60,Def Jam,2015
"Jeremih","Pass Dat",Explicit,64,Def Jam,2016
"Jeremih ft. J. Cole","Planes",Explicit,65,Def Jam,2015
"Janet Jackson ft. J. Cole","No Sleeep", Clean Edit - Remix,88,Rhythm Nation/BMG,2015
"Jasmine V ft. Kendrick Lamar","That's Me Right There",Instrumental,65,Interscope,2014
"Jason Derulo","Trumpets",,82,Beluga Heights/Warner Bros,2014
"J. Brown","Give It 2 U",,88,,2019
"Jean","Voices In My Head",Spanish,60,Sony/BMG,2009
"Jennifer Hudson ft. Timbaland","Walk It Out",Instrumental,70,RCA,2014
"Jennifer Hudson ft. Timbaland","Walk It Out",,70,RCA,2014
"Jeremih","Oui",,60,Def Jam,2015
"Jeremih","Oui",Explicit,60,Def Jam,2015
"Jeremih","Pass Dat", Clean Edit,64,Def Jam,2016
"Jeremih ft. Chris Brown & Big Sean","I Think Of You",Clean,101,Def Jam,2017
"Jeremih ft. J. Cole","Planes",Clean,65,Def Jam,2015
"Jeremih ft. YG","Don't Tell Em", Clean Edit,98,Def Jam,2014
"Jeremih ft. YG","Don't Tell 'Em", Clean Edit,98,Def Jam,2014
"Jeremih ft. YG","Don't Tell 'Em",,98,Def Jam,2014
"Jermaine Dupri & Nas Feat. Monica","I've Got To Have It",,96,So So Def/columbia Records,2000
"Jessie Reyez ft. 6LACK","Imported",PO Clean Edit,56,PO Clean Edit,2019
"Jhene Aiko","The Worst",,93,ARTium/Def Jam,2014
"Jhene Aiko","The Worst",Explicit,93,ARTium/Def Jam/Island Def Jam,2014
"Jhene Aiko ft. Cocaine 80s","To Love & Die",Clean,77,ARTium/Def Jam,2014
"Jhene Aiko ft. Cocaine 80s","To Love & Die",,77,ARTium/Def Jam,2014
"Jhene Aiko ft. YG","Never Call Me",PO Clean Edit - Remix,60,PO Clean Edit - Remix,2018
"Jidenna","Knickers",Clean,98,Epic,2016
"Jidenna","Knickers", Quick Edit,98,Epic,2016
"Jidenna","Little Bit More",Promo Only Intro Edit,105,Epic,2016
"Jeremih ft. YG","Don't Tell Em",Explicit,98,Def Jam,2014
"Jeremih ft. YG","Don't Tell 'Em", Quick Edit,98,Def Jam,2014
"Jermaine Dupri Feat. Keith Sweat & R.O.C.","Going Home With Me",,94,So So Def/columbia Records,1999
"Jessie Reyez ft. 6LACK","Imported",Explicit,56,Explicit,2019
"Jhene Aiko","The Worst", Quick Edit,93,ARTium/Def Jam,2014
"Jhene Aiko","The Worst",Radio Edit,93,ARTium/Def Jam/Island Def Jam,2014
"Jhene Aiko ft. Cocaine 80s","To Love & Die", Quick Edit,77,ARTium/Def Jam,2014
"Jhene Aiko ft. Rae Sremmurd","Sativa",Explicit,63,Explicit,2018
"Jidenna","Knickers",Explicit,98,Epic,2016
"Jidenna","Knickers",,98,Epic,2016
"Jidenna","Little Bit More",Instrumental,105,Epic,2016
"Jidenna","Little Bit More",Promo Only Quick Edit,105,Epic,2016
"Jidenna ft. Kendrick Lamar","Classic Man",Remix,94,Epic,2015
"Jidenna ft. Kendrick Lamar","Classic Man", - Remix,94,Epic,2015
"Jidenna ft. Kendrick Lamar","Classic Man",Clean - Remix,94,Epic,2015
"Jidenna ft. Quavo","The Let Out",Explicit,78,Epic,2017
"Jidenna ft. Quavo","The Let Out",Intro Edit,79,Epic,2017
"Jidenna ft. Roman GianArthur","Classic Man", Quick Edit,94,Epic,2015
"Jidenna ft. Roman GianArthur","Classic Man",,94,Epic,2015
"Jidenna ft. T-Pain & Kendrick Lamar","Classic Man",Remix - Explicit,94,Epic,2015
"Jodeci","Every Moment", Quick Edit,122,Sphinx/Epic,2015
"Jodeci","Every Moment",,122,Sphinx/Epic,2015
"Joe","Ride Wit U",Album,102,Jive,2003
"John Legend","Start",,59,Columbia,2016
"Johnny Gill ft. New Edition","This One's For Me & You",,84,J Skillz/Caroline/Capitol,2016
"Jidenna ft. Kendrick Lamar","Classic Man",Remix - Explicit,94,Epic,2015
"Jidenna ft. Kendrick Lamar","Classic Man", Quick Edit - Remix,94,Epic,2015
"Jidenna ft. Quavo","The Let Out",Quick Edit,79,Epic,2017
"Jidenna ft. Quavo","The Let Out",Clean,79,Epic,2017
"Jidenna ft. Roman GianArthur","Classic Man",Explicit,94,Epic,2015
"Jidenna ft. Roman GianArthur","Classic Man",Instrumental,94,Epic,2015
"Jidenna ft. T-Pain & Kendrick Lamar","Classic Man", Clean Edit - Remix,94,Epic,2015
"Jodeci","Every Moment",A Cappella,61,Sphinx/Epic,2015
"Jodeci","Every Moment",Instrumental,61,Sphinx/Epic,2015
"John Legend","Love Me Now",Radio Edit,124,Columbia,2016
"Johnny Gill","Behind Closed Doors",,63,J Skillz/Capitol,2014
"Jojo","Too Little Too Late",,83,,
"Jonathan McReynolds","Gotta Have You",,96,eOne,2015
"Jonn Hart ft. French Montana","Who Booty",Remix,97,Epic,2012
"Josh Dean","DropDead",PO Clean Edit,105,PO Clean Edit,2019
"JR Castro","Right Away", Quick Edit,102,PMG,2016
"J.R. ft. Trey Songz","Best Friend", Clean Edit,65,M.W.E./Untouchable,2015
"June's Diary","L.A.N.C.E",Explicit,74,Epic,2016
"June's Diary","L.A.N.C.E.",Promo Only Intro Edit,74,Epic,2016
"June's Diary","L.A.N.C.E.",Clean,74,Epic,2016
"Justine Skye","Build",PO Clean Edit,74,PO Clean Edit,2019
"Justine Skye ft. Vic Mensa","I'm Yours",,95,MBK/Atlantic,2015
"Justine Skye ft. Wizkid","U Don't Know",Clean,88,Roc Nation/Republic,2016
"Justine Skye ft. Wizkid","U Don't Know",Promo Only Intro Edit,88,Roc Nation/Republic,2016
"Justin James","Tell Me You Love Me", Clean Edit,85,Timeless Traks,2015
"Jonn Hart ft. French Montana","Who Booty",Instrumental,97,Epic,2012
"Jonn Hart ft. Too $hort","Whistle",Explicit,100,Explicit,2019
"JR Castro","Right Away",,102,PMG,2016
"JR Castro","Right Away",Clean,102,PMG,2016
"June's Diary","L.A.N.C.E.",Promo Only Quick Edit,74,Epic,2016
"June's Diary","L.A.N.C.E.",Instrumental,74,Epic,2016
"Justine Skye","Bandit",Clean,72,Atlantic,2015
"Justine Skye ft. Jeremih","Back For More",,107,Roc Nation/Republic,2017
"Justine Skye ft. Vic Mensa","I'm Yours",Clean,95,MBK/Atlantic,2015
"Justine Skye ft. Wizkid","U Don't Know",Promo Only Quick Edit,88,Roc Nation/Republic,2016
"Justine Skye ft. Wizkid","U Don't Know",Explicit,88,Roc Nation/Republic,2016
"Justin James","Tell Me You Love Me",Explicit,85,Timeless Traks,2015
"Justin Timberlake","Love",,128,,
"Justin Timberlake","Sexy Back",,117,,2006
"Kayla Brianna ft. Rich Homie Quan","Do You Remember",Explicit,63,KSEG,2016
"Kehlani","CRZY",Clean,65,Atlantic,2016
"Kehlani","Distraction",Explicit,61,Atlantic,2017
"Kehlani","Distraction",Intro Edit,61,Atlantic,2017
"Kehlani","Distraction",Quick Edit,61,Atlantic,2017
"Kehlani ft. Ty Dolla $ign","Nights Like This",Explicit,73,Explicit,2019
"Keith Sweat","Come With Me",,59,Elektra Entertainment Group,1997
"Keith Sweat","I'm Not Ready",,108,Elektra Entertainment,1999
"Keith Sweat","Real Man",,89,Elektra Entertainment,2001
"Keith Sweat","What Is It",,56,Elektra Entertainment,2002
"Keith Sweat Feat. Kut Klose","Get Up On It",,62,Elektra Records,1994
"Justin Timberlake","Sexyback",,117,,2007
"Kayla Brianna ft. Rich Homie Quan","Do You Remember",Clean,62,KSEG,2016
"Kayla Brianna ft. YFN Lucci","Work For It",Promo Only Clean Edit,99,Smith Entertainment,2016
"Kehlani","Distraction",Clean,61,Atlantic,2017
"Kehlani","Distraction",Instrumental,61,Atlantic,2017
"Kehlani","Nights Like This",Instrumental,73,Instrumental,2019
"Kehlani ft. Ty Dolla $ign","Nights Like This",Clean Edit,73,Clean Edit,2019
"Keith Sweat","How Do You Like It",,95,Elektra Records,1994
"Keith Sweat","Just A Touch",,104,Elektra Records,1997
"Keith Sweat","Twisted",,89,Elektra Records,1996
"Keith Sweat","When I Give My Love",,58,Elektra Records,1994
"Keith Sweat Feat. Lil' Mo","I'll Trade (a Million Bucks)",,56,Elektra Entertainment,2000
"Keith Sweat Feat. Lola Troy And Lade Bac","One On One",Radio Version W/intro,60,Elektra Entertainment,2002
"Kelis","In Public",,104,Virgin,2003
"Kelly Roland","Motivation",,144,,2011
"Kelly Rowland ft. Lil Wayne","Ice",Instrumental,80,Universal Republic,2012
"Keyshia Cole","Next Time (Won't Give My Heart Away)",,74,Geffen/Interscope,2014
"Keyshia Cole Feat. Eve","Never",,108,,2004
"Keyshia Cole ft. Juicy J","Rick James",Explicit,51,Geffen/Interscope,2014
"Keyshia Cole ft. Lil Wayne","Enough Of No Love",Dirty A Cappella (Explicit),87,Geffen/Interscope,2012
"Keyshia Cole ft. Lil Wayne","Enough Of No Love",Clean A Cappella,87,Geffen/Interscope,2012
"Keyshia Cole ft. Sean Kingston & Lil Wayne","Loyal (Freestyle)",,99,Geffen/Interscope,2014
"Key To Life Feat. Monica Hughes","Faithful (is It Whatcha Want)",Classic Soul Mix,125,Suburban Records,1997
"Khalid ft. Lil Wayne & Kehlani","Location",Remix - Explicit,80,RCA,2017
"Khalid ft. Megan Thee Stallion & Yo Gotti","Talk",PO Intro Edit - Remix,68,PO Intro Edit - Remix,2019
"Keke Palmer ft. Jeremih","Enemiez", Quick Edit,103,Republic,2016
"Kelis","Milkshake",Tasty,113,Star Trak/ Arista,2003
"Kelly Rowland ft. Lil Wayne","Ice",,80,Universal Republic,2012
"Kent Jones ft. Mr. Vegas","Don't Mind",Dom Da Bomb Remix,81,We The Best/Epic,2016
"Keyshia Cole ft. French Montana & Remy Ma","You",Clean,89,Epic,2017
"Keyshia Cole ft. Juicy J","Rick James",,51,Geffen/Interscope,2014
"Keyshia Cole ft. Lil Wayne","Enough Of No Love",Instrumental,87,Geffen/Interscope,2012
"Keyshia Cole ft. Meek Mill","Zero",,90,Geffen/Interscope,2013
"Keyshia Cole ft. Sean Kingston & Lil Wayne","Loyal (Freestyle)", Quick Edit,99,Geffen/Interscope,2014
"Khalid","Better",Clean,98,Clean,2018
"Khalid ft. Lil Wayne & Kehlani","Location",Remix,80,RCA,2017
"Khalid ft. Megan Thee Stallion & Yo Gotti","Talk",PO Clean Edit - Remix,68,PO Clean Edit - Remix,2019
"Khalid ft. Megan Thee Stallion & Yo Gotti","Talk",PO Quick Edit - Remix,68,PO Quick Edit - Remix,2019
"Kiana Lede ft. A$AP Ferg","Fairplay",PO Clean Edit,70,PO Clean Edit,2018
"K. Michelle","Ain't You",Clean,100,Atlantic,2016
"K. Michelle","Love 'Em All",Clean,64,Atlantic,2014
"K. Michelle","Not A Little Bit",,70,Atlantic,2016
"Kook And The Gang","Fresh",,117,,
"KYLE ft. Kehlani","Playinwitme",PO Clean Edit,78,PO Clean Edit,2018
"Lalah Hathaway ft. Snoop Dogg","Ghetto Boy",,94,eOne,2016
"Leela James","Fall For You",,74,RED,2014
"Letoya Luckett","Torn",,77,,2006
"LeToya Luckett ft. T.I.","Don't Make Me Wait", Quick Edit,73,eOne,2015
"LeToya Luckett ft. T.I.","Don't Make Me Wait", Clean Edit - Remix,73,eOne,2015
"LightSkinKeisha","Hey LightSkin",Explicit,95,Explicit,2019
"Khalid ft. Megan Thee Stallion & Yo Gotti","Talk",Remix,68,Remix,2019
"Kiana Lede ft. A$AP Ferg","Fairplay",Explicit,70,Explicit,2018
"K. Michelle","Can't Raise A Man", Clean Edit,76,Atlantic,2014
"K. Michelle","Love 'Em All",,64,Atlantic,2015
"Kurtis Blow","The Breaks",12",113,Mercury Mds-4010,1980
"La Bouche","Fallin' In Love",Radio Edit,90,Logic,1995
"Lara Fabian","I Am Who I Am",,95,Columbia,1999
"Lee Wilson","I Choose You",,65,LWM,2011
"LeToya Luckett ft. T.I.","Don't Make Me Wait",Intro - Explicit,73,eOne,2015
"LeToya Luckett ft. T.I.","Don't Make Me Wait",,73,eOne,2015
"LightSkinKeisha","Hey LightSkin",Instrumental,95,Instrumental,2019
"Lil Dicky","Earth",PO Clean Edit,96,PO Clean Edit,2019
"Lil Donald","Do Better",Explicit,65,Explicit,2018
"Lil Donald","Do Better",Instrumental,65,Instrumental,2018
"Lloyd","Caramel",,68,,2019
"Lloyd","Caramel",PO Intro Edit,68,PO Intro Edit,2019
"Love Dollhouse","Can I",,97,All Def/Capitol,2014
"Luke Christopher","They Know", Clean Edit,88,RCA,2015
"Luke James","These Arms",,115,,2018
"Luther Vandross","Never Too Much",Original,110,,
"Lyfe Jennings","Accusing Me",,86,,2019
"Mack Wilds","Love In The 90z",Explicit,102,Louder Than Life/Epic,2016
"Mack Wilds","Love In The 90z",Clean,102,Louder Than Life/Epic,2015
"Majid Jordan","Something About You",,110,OVO Sound/Warner Bros,2016
"MAJOR.","Why I Love You",,53,EMPIRE,2017
"Lil Donald","Do Better",Clean Edit,65,Clean Edit,2018
"Lil Uzi Vert","Sanguine Paradise",PO Clean Edit,136,PO Clean Edit,2019
"Lloyd","Caramel",PO Quick Edit,68,PO Quick Edit,2019
"Lloyd","Tru",Clean,73,Young Goldie/EMPIRE,2016
"Luke Christopher","They Know",Explicit,88,RCA,2016
"Luke James","These Arms",PO Clean Edit,115,PO Clean Edit,2018
"Luther Vandross","Until My Baby Comes Home",,108,,
"Lyfe Jennings","Savage",Clean,83,Independent,2016
"Mack Wilds","Love In The 90z", Quick Edit,102,Louder Than Life/Epic,2015
"Mack Wilds","Love In The 90z",Instrumental,102,Louder Than Life/Epic,2016
"Majid Jordan ft. Khalid","Caught Up",Clean Edit,81,Clean Edit,2019
"Mali Music","Gonna Be Alright",,90,Bystorm/RCA,2017
"Mali Music","Gonna Be Alright",Intro Edit,90,Bystorm/RCA,2017
"Mapei","Don't Wait", Quick Edit,99,Downtown,2014
"Marcus Canty ft. Wale","In & Out",A Cappella,80,Epic,2012
"Mariah Carey","Always Be My Baby",Always Club,125,Columbia Records,1996
"Mariah Carey","Anytime You Need A Friend",Ministry Of Sound Mix,122,Columbia Records,1994
"Mariah Carey","Bringin' On The Heartbreak",,76,Monarch/island Def Jam Music,2003
"Mariah Carey","Can't Take That Away",Morales Club Mix,125,Columbia Records,2000
"Mariah Carey","Dreamlover",Def Club Mix,121,Columbia Records,1993
"Mariah Carey","Fantasy",,103,Columbia Records,1995
"Mariah Carey","Forever",,62,Columbia Records,1996
"Mariah Carey","Heartbreaker",No Rap Version,100,Columbia Records,1999
"Mariah Carey","Honey",Classic Mix,126,Columbia Records,1997
"Mariah Carey","Honey",Smooth Version,96,Columbia Records,1997
"Mali Music","Gonna Be Alright",Quick Edit,90,Bystorm/RCA,2017
"Marco McKinnis","Deep",,64,,2019
"Marcus Canty ft. Wale","In & Out",Instrumental,80,Epic,2012
"Mariah Carey","Always Be My Baby",Remix,125,Columbia Records,1996
"Mariah Carey","Butterfly",,54,Columbia Records,1997
"Mariah Carey","Dreamlover",,104,Columbia Records,1993
"Mariah Carey","Fantasy",Def Club Mix,124,Columbia Records,1995
"Mariah Carey","Fly Away (butterfly Reprise)",David Morales Fly Away Club Mix,125,Columbia Records,1998
"Mariah Carey","Heartbreaker",Junior's Heartbreaker Club Mix,127,Columbia Records,1999
"Mariah Carey","Hero",,60,Columbia Records,1993
"Mariah Carey","Honey",,96,Columbia Records,1997
"Mariah Carey","I Still Believe",David Morales Remix Edit,126,Columbia Records,1999
"Mariah Carey","I Still Believe",Morales' Classic Club Mix,126,Columbia Records,1999
"Mariah Carey","Loverboy",David Morales Dub Luv Mix,126,Virgin Records,2001
"Mariah Carey","My All",,54,Columbia Records,1998
"Mariah Carey","Never Forget You",,50,Columbia Records,1994
"Mariah Carey","Never Too Far/hero",Mike Rizzo/ernie Lake Club Remix,132,Virgin Records,2002
"Mariah Carey","Obsessed",Radio Version_,87,,2009
"Mariah Carey","Through The Rain",Maurice Joshua Club Mix,128,Monarch/island Def Jam Music,2003
"Mariah Carey","Underneath The Stars",No Rap Version,87,Columbia Records,1996
"Mariah Carey Feat. Boyz II Men","One Sweet Day",,64,Columbia Records,1995
"Mario","Let Me Love You",A More Exact Bpm Is 94.63,94,,2004
"Mark Ronson ft. Mystikal","Feel Right", Quick Edit,110,RCA,2015
"Marques Houston","All Because Of You",Album,85,Universal,2005
"Marques Houston","Naked",Album,60,Universal,2005
"Mariah Carey","Loverboy",David Morales Club Of Love Mix,126,Virgin Records,2001
"Mariah Carey","My All",Album Version,54,Columbia Records,1998
"Mariah Carey","My All",Classic Club Mix,126,Columbia Records,1998
"Mariah Carey","Never Too Far",,60,Virgin Records,2001
"Mariah Carey","Through The Rain",Hex Hector/mac Quayle Remix,132,Island Def Jam Music,2002
"Mariah Carey","Through The Rain",,61,Monarch/island Def Jam Music,2002
"Mariah Carey","Underneath The Stars (drifting)",,87,,1996
"Mariah Carey Feat. Jermaine Dupri","Get Your Number",,95,,2006
"Mark Ronson ft. Mystikal","Feel Right", Clean Edit,110,RCA,2015
"Mark Ronson ft. Mystikal","Feel Right",,110,RCA,2015
"Marques Houston","Clubbin",Album,80,Universal,2003
"Marques Houston","That Girl",Album,96,,2003
"Marques Houston Feat Jermaine Dupree","Pop That Booty",Album,95,,2003
"Mary J Blige","Never Been",Original,94,,2003
"Mary J Blige","You Remind Me",Ad's Radio Mix,95,Mca,1993
"Mary J. Blige","Therapy",,82,Capitol,2014
"Mary J. Blige ft. Drake","Mr. Wrong",,71,Matriarch/Geffen/Interscope,2011
"Mary J. Blige X Nas","Thriving",Dj Slique Quick Edit,101,Dj Slique Quick Edit,2019
"Mary J. Blige X Nas","Thriving",PO Intro Edit,101,PO Intro Edit,2019
"Mary J. Blige X Nas","Thriving",Dj Slique Intro Edit,101,Dj Slique Intro Edit,2019
"Matheus10 ft. Nino Valentino","Como Puedo Olvidar",,113,Victoria,2012
"Maxwell","Lake By The Ocean",,76,Columbia,2016
"Michael Jackson","Cry",,84,Epic,2001
"Michael Jackson","Man In The Mirror",,100,Epic,1988
"Michael Jackson","The Way You Make Me Feel",,116,Epic,1987
"Marvin Gaye","Got To Give It Up",,122,,
"Mary J Blige","You Remind Me",Straight From The Heart Mix,97,Mca,1993
"Mary J. Blige","Suitcase",,80,Epic,2014
"Mary J. Blige","Whole Damn Year",,68,Capitol,2014
"Mary J. Blige X Nas","Thriving",PO Quick Edit,101,PO Quick Edit,2019
"Mary J. Blige X Nas","Thriving",,101,,2019
"Mashonda F/ Game","Back Of The Club",Album Version,97,,2005
"Maxwell","Lake By The Ocean", Quick Edit,76,Columbia,2016
"Mercy Estrella","Que Me Ames",,80,Zumbate,2013
"Michael Jackson","Liberian Girl",,120,Epic,1987
"Michael Jackson","One More Chance",,80,Epic,2003
"Michael Jackson x Mark Ronson","Diamonds Are Invincible",,118,,2018
"Miguel","Adorn",Instrumental,90,Bystorm/RCA,2012
"Miguel ft. Chris Brown & Future","Simple Things", Clean Edit - Remix,81,RCA,2015
"Miguel ft. J. Cole & Salaam Remi","Come Through And Chill",Instrumental,88,Instrumental,2018
"Miguel ft. Travi$ Scott","Waves",Explicit,58,Bystorm/RCA,2016
"Miguel ft. Wale","Coffee",Clean,81,Bystorm/RCA,2015
"Mila J","F Boy",,85,SP,2017
"Mila J","F Boy",Quick Edit,85,SP Entertainment/November Reign,2017
"Mila J","F Boy",A Cappella,85,SP,2017
"Mila J","Friends",Explicit,75,November Reign,2016
"Mila J","Friends",Acapella,75,November Reign,2016
"Mila J","Move",,70,SP,2017
"Mila J","Ready 2 Go", Quick Edit,57,November Reign,2015
"Mila J","Ready 2 Go",,57,November Reign,2015
"Miguel","Do You...",Instrumental,74,Bystorm/RCA,2013
"Miguel ft. Chris Brown & Future","Simple Things",Remix - Explicit,81,RCA,2015
"Miguel ft. Travi$ Scott","Waves",Clean,58,Bystorm/RCA,2016
"Miguel ft. Twista","Quickie",After Midnight Mix,68,Bystorm/Jive/RCA,2011
